02.15 11.13.47  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.13.47  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.15.58  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.15.59  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.15.59  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.16.08  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.16.09  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.16.09  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.22.25  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:74 - getSchemas[]: resultList: [INFORMATION_SCHEMA, PUBLIC]
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:99 - getTables[]: resultList: [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.22.26  INFO	ru.sfedu.crm.Main:14 - [[Ljava.lang.Object;@67064bdc, [Ljava.lang.Object;@4a7fd0c9, [Ljava.lang.Object;@18578491, [Ljava.lang.Object;@3291b443, [Ljava.lang.Object;@671c4166, [Ljava.lang.Object;@53d13cd4]
02.15 11.22.26  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:86 - getUsers[]: resultList: [[Ljava.lang.Object;@44032fde]
02.15 11.22.27  INFO	ru.sfedu.crm.lab1.api.HibernateMetadataProvider:111 - getColumns[]: resultList: [[Ljava.lang.Object;@507d64aa, [Ljava.lang.Object;@37045b48, [Ljava.lang.Object;@60b34931, [Ljava.lang.Object;@4aa21f9d]
02.15 11.22.27  INFO	ru.sfedu.crm.Main:17 - Main[1]: End
02.15 11.47.20  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
02.15 11.47.21  INFO	ru.sfedu.crm.Main:18 - Main[1]: End
02.15 11.47.33  INFO	ru.sfedu.crm.Main:11 - Main[0]: Start
